icao;airport
OMAA;Abu Dhabi International Airport
OMAD;Al Bateen Executive Airport
OMAL;Al Ain International Airport
OMAM;Al Dhafra Air Base
OMBY;Sir Bani Yas Airport
OMDB;Dubai International Airport
OMDL;Dalma Airport
OMDM;Al Minhad Air Base
OMDW;Al Maktoum International Airport
OMFJ;Fujairah International Airport
OMRK;Ras Al Khaimah International Airport
OMSJ;Sharjah International Airport
OABN;Bamyan Airport
OABT;Bost Airport
OACC;Chaghcharan Airport
OADS;Sardeh Band Airport
OADY;Dwyer Airport
OADZ;Darwaz Airport
OAFR;Farah Airport
OAFZ;Fayzabad Airport
OAGN;Ghazni Airport
OAGZ;Gardez Airport
OAHN;Khwahan Airport
OAHR;Herat International Airport
OAIX;Bagram Airfield
OAJL;Jalalabad Airport
OAKB;Kabul International Airport
OAKN;Kandahar International Airport
OAKS;Khost Airfield
OAMN;Maymana Airport
OAMS;Mazar-e Sharif International Airport
OAOG;Urgun Airport
OAQN;Qala i Naw Airport
OARG;Uruzgan Airport
OARZ;Razer Airport
OASA;Sharana Airstrip / Forward Operating Base Sharana
OASD;Shindand Air Base
OASH;Forward Operating Base Shank
OASL;Forward Operating Base Salerno
OASN;Sheghnan Airport
OATN;Tarinkot Airport
OATQ;Taloqan Airport
OAUZ;Kunduz Airport
OAZI;Camp Bastion Air Base
OAZJ;Zaranj Airport
TAPA;V. C. Bird International Airport
TAPH;Barbuda Codrington Airport
TQPF;Clayton J. Lloyd International Airport
UDSG;Gyumri Shirak Airport
UDYZ;Zvartnots International Airport
FNAM;Ambriz Airport
FNBC;Mbanza Congo Airport
FNBG;Benguela Airport (Gen. V. Deslandes Airport)
FNBJ;Luanda Dr. Antonio Agostinho Neto Angola International Airport
FNCA;Cabinda Airport
FNCF;Cafunfo Airport
FNCH;Chitato Airport
FNCP;Kapanda Airport
FNCT;Catumbela Airport
FNCV;Cuito Cuanavale Airport
FNCZ;Cazombo Airport
FNDU;Dundo Airport
FNGI;Ondjiva Pereira Airport
FNHU;Albano Machado Airport
FNKU;Kuito Airport
FNLB;Lobito Airport
FNLK;Lucapa Airport
FNLU;Quatro de Fevereiro Airport
FNLZ;Cuango-Luzamba Airport
FNMA;Malanje Airport
FNME;Menongue Airport
FNMO;Namibe Airport (Yuri Gagarin Airport)
FNNG;Negage Airport
FNPA;Porto Amboim Airport
FNSA;Henrique de Carvalho Airport
FNSO;Soyo Airport
FNSU;Sumbe Airport
FNUA;Luau Airport
FNUB;Lubango Mukanka Airport
FNUE;Luena Airport
FNUG;Uige Airport
FNWK;Waco Kungo Airport
FNXA;Xangongo Airport
FNZE;N'zeto Airport
FNZG;Nzagi Airport
SCRM;Teniente R. Marsh Airport
SAAC;Comodoro Pierrestegui Airport
SAAG;Gualeguaychu Airport
SAAJ;Junin Airport
SAAP;General Justo Jose de Urquiza Airport
SAAR;Rosario - Islas Malvinas International Airport
SAAV;Sauce Viejo Airport
SABE;Aeroparque Internacional Jorge Newbery
SACC;La Cumbre Airport
SACO;Ingeniero Aeronautico Ambrosio L.V. Taravella International Airport (Pajas Blancas)
SADL;La Plata Airport
SADP;El Palomar Airport
SAEZ;Ministro Pistarini International Airport
SAFR;Rafaela Airport
SAFS;Sunchales Airport
SAHC;Chos Malal Airport
SAHR;Dr. Arturo Umberto Illia Airport
SAHS;Rincon de los Sauces Airport
SAHZ;Zapala Airport
SAME;Gov. Francisco Gabrielli International Airport (El Plumerillo)
SAMM;Comodoro D. Ricardo Salomon Airport
SAMR;San Rafael Airport (Argentina)
SANC;Coronel Felipe Varela International Airport
SANE;Vicecomodoro Angel de la Paz Aragones Airport
SANL;Capitan Vicente Almandos Almonacid Airport
SANR;Termas de Rio Hondo Airport
SANT;Teniente General Benjamin Matienzo International Airport
SANU;Domingo Faustino Sarmiento Airport
SANW;Ceres Airport
SAOC;Las Higueras Airport
SAOD;Villa Dolores Airport
SAOR;Villa Reynolds Airport
SAOS;Valle del Conlara Airport
SAOU;Brigadier Mayor Cesar Raul Ojeda Airport
SARC;Doctor Fernando Piragine Niveyro International Airport
SARE;Resistencia International Airport
SARF;Formosa International Airport (El Pucu Airport)
SARI;Cataratas del Iguazu International Airport
SARL;Paso de los Libres Airport
SARM;Monte Caseros Airport
